time,lcj,hxj,fyj,hgj,
2018-5-20 11:6:21.681,0,121.15,-0.108,-1.008,
2018-5-20 11:6:21.728,0,121.15,-0.108,-1.008,
2018-5-20 11:6:21.774,0,121.15,-0.108,-1.008,
2018-5-20 11:6:21.837,0,121.15,-0.108,-1.008,
2018-5-20 11:6:21.884,0,121.15,-0.108,-1.008,
2018-5-20 11:6:21.93,0,121.15,-0.108,-1.008,
2018-5-20 11:6:21.993,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.04,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.086,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.133,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.196,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.242,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.289,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.352,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.398,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.445,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.492,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.554,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.601,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.648,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.695,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.757,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.804,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.851,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.898,0,121.15,-0.108,-1.008,
2018-5-20 11:6:22.96,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.007,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.054,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.116,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.163,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.21,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.256,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.319,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.366,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.412,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.475,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.522,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.568,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.615,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.678,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.724,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.771,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.818,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.88,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.927,0,121.15,-0.108,-1.008,
2018-5-20 11:6:23.974,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.036,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.083,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.13,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.177,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.239,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.286,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.333,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.38,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.442,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.489,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.536,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.598,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.645,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.692,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.738,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.801,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.848,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.894,0,121.15,-0.108,-1.008,
2018-5-20 11:6:24.941,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.004,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.05,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.097,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.144,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.206,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.253,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.3,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.362,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.409,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.456,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.518,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.565,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.612,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.659,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.721,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.768,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.815,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.862,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.924,0,121.15,-0.108,-1.008,
2018-5-20 11:6:25.971,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.018,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.064,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.127,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.174,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.22,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.283,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.33,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.376,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.423,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.486,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.532,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.579,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.642,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.688,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.735,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.782,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.844,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.891,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.938,0,121.15,-0.108,-1.008,
2018-5-20 11:6:26.985,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.047,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.094,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.141,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.188,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.25,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.297,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.344,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.406,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.453,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.5,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.546,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.624,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.656,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.702,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.765,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.812,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.858,0,121.15,-0.108,-1.008,
2018-5-20 11:6:27.905,0,121.15,-0.108,-1.008,
