time,lcj,hxj,fyj,hgj,x,y,z,
2018-5-20 11:7:52.36400,0.83264,121.14560,-0.10416,-1.01200,521329.43240,4084094.32106,50.53673
2018-5-20 11:7:52.42600,0.85657,121.15060,-0.10416,-1.00800,521329.45291,4084094.30873,50.53673
2018-5-20 11:7:52.47300,0.87253,121.14860,-0.10216,-1.00700,521329.46658,4084094.30051,50.53673
2018-5-20 11:7:52.52000,0.88848,121.14760,-0.10116,-1.01000,521329.48026,4084094.29229,50.53673
2018-5-20 11:7:52.56600,0.91142,121.15360,-0.10116,-1.00600,521329.49991,4084094.28047,50.53673
2018-5-20 11:7:52.62900,0.93535,121.15160,-0.09516,-1.00600,521329.52042,4084094.26814,50.53673
2018-5-20 11:7:52.67600,0.95130,121.15460,-0.09216,-1.00800,521329.53410,4084094.25992,50.53674
2018-5-20 11:7:52.72200,0.96626,121.15160,-0.08516,-1.00100,521329.54692,4084094.25221,50.53674
2018-5-20 11:7:52.76900,0.99019,121.15012,-0.08268,-1.00316,521329.56743,4084094.23988,50.53675
2018-5-20 11:7:52.83200,1.01412,121.14860,-0.07816,-1.00700,521329.58794,4084094.22755,50.53676
2018-5-20 11:7:52.87800,1.02908,121.14660,-0.08216,-1.00200,521329.60076,4084094.21984,50.53676
2018-5-20 11:7:52.92500,1.05301,121.14660,-0.08716,-1.00000,521329.62127,4084094.20751,50.53677
2018-5-20 11:7:52.98800,1.07695,121.14760,-0.09516,-1.00700,521329.64178,4084094.19518,50.53678
2018-5-20 11:7:53.03400,1.09190,121.14960,-0.10216,-1.00600,521329.65460,4084094.18747,50.53678
2018-5-20 11:7:53.08100,1.11584,121.14760,-0.10016,-1.01000,521329.67511,4084094.17514,50.53678
2018-5-20 11:7:53.12800,1.13977,121.14860,-0.10216,-1.01000,521329.69562,4084094.16281,50.53678
2018-5-20 11:7:53.19000,1.16270,121.15060,-0.10116,-1.00800,521329.71528,4084094.15099,50.53678
2018-5-20 11:7:53.23700,1.18663,121.15260,-0.10016,-1.00700,521329.73579,4084094.13866,50.53678
2018-5-20 11:7:53.28400,1.20259,121.15560,-0.10116,-1.01100,521329.74946,4084094.13044,50.53678
2018-5-20 11:7:53.34600,1.23350,121.15260,-0.09516,-1.01100,521329.77595,4084094.11451,50.53679
2018-5-20 11:7:53.39300,1.24946,121.15260,-0.09416,-1.00900,521329.78962,4084094.10629,50.53679
2018-5-20 11:7:53.44000,1.27339,121.15360,-0.08916,-1.01200,521329.81013,4084094.09396,50.53679
2018-5-20 11:7:53.48700,1.29632,121.15060,-0.08516,-1.01600,521329.82979,4084094.08214,50.53680
2018-5-20 11:7:53.54900,1.32026,121.14960,-0.08816,-1.02300,521329.85030,4084094.06981,50.53681
2018-5-20 11:7:53.59600,1.34419,121.14560,-0.08916,-1.01300,521329.87081,4084094.05748,50.53681
