Sec,+-,+-,
2018-5-20 12:53:19.00000,-2428417.51250,4493275.93800,3807471.05780,
2018-5-20 12:53:20.00000,-2428417.51650,4493275.94580,3807471.05880,
2018-5-20 12:53:21.00000,-2428417.51550,4493275.93720,3807471.05790,
2018-5-20 12:53:22.00000,-2428417.50620,4493275.93230,3807471.05190,
2018-5-20 12:53:23.00000,-2428417.51060,4493275.93490,3807471.05520,
2018-5-20 12:53:24.00000,-2428417.51620,4493275.94320,3807471.05820,
2018-5-20 12:53:25.00000,-2428417.51100,4493275.93380,3807471.05560,
2018-5-20 12:53:26.00000,-2428417.51410,4493275.93910,3807471.05810,
2018-5-20 12:53:27.00000,-2428417.51010,4493275.93230,3807471.05450,
2018-5-20 12:53:28.00000,-2428417.51210,4493275.93700,3807471.05640,
2018-5-20 12:53:29.00000,-2428417.51160,4493275.93570,3807471.05340,
2018-5-20 12:53:30.00000,-2428417.50820,4493275.92830,3807471.05420,
2018-5-20 12:53:31.00000,-2428417.50970,4493275.93240,3807471.05600,
2018-5-20 12:53:32.00000,-2428417.51450,4493275.93760,3807471.05820,
2018-5-20 12:53:33.00000,-2428417.51020,4493275.93780,3807471.05670,
2018-5-20 12:53:34.00000,-2428417.50840,4493275.93030,3807471.05350,
2018-5-20 12:53:35.00000,-2428417.51020,4493275.93270,3807471.05500,
2018-5-20 12:53:36.00000,-2428417.50800,4493275.92800,3807471.05350,
2018-5-20 12:53:37.00000,-2428417.50640,4493275.92650,3807471.05150,
2018-5-20 12:53:38.00000,-2428417.50890,4493275.93010,3807471.05540,
2018-5-20 12:53:39.00000,-2428417.50630,4493275.92480,3807471.05310,
2018-5-20 12:53:40.00000,-2428417.51080,4493275.93750,3807471.06010,
2018-5-20 12:53:41.00000,-2428417.50420,4493275.92070,3807471.04640,
2018-5-20 12:53:42.00000,-2428417.50320,4493275.92030,3807471.04590,
2018-5-20 12:53:43.00000,-2428417.50640,4493275.92650,3807471.05250,
2018-5-20 12:53:44.00000,-2428417.50810,4493275.92860,3807471.05290,
2018-5-20 12:53:45.00000,-2428417.50550,4493275.92120,3807471.04820,
2018-5-20 12:53:46.00000,-2428417.50980,4493275.92710,3807471.05390,
2018-5-20 12:53:47.00000,-2428417.50700,4493275.92250,3807471.04990,
2018-5-20 12:53:48.00000,-2428417.50430,4493275.91770,3807471.04260,
2018-5-20 12:53:49.00000,-2428417.50820,4493275.92510,3807471.05320,
2018-5-20 12:53:50.00000,-2428417.50720,4493275.92240,3807471.04890,
2018-5-20 12:53:51.00000,-2428417.50850,4493275.92340,3807471.04770,
2018-5-20 12:53:52.00000,-2428417.50550,4493275.92400,3807471.04810,
2018-5-20 12:53:53.00000,-2428417.50650,4493275.91760,3807471.04680,
2018-5-20 12:53:54.00000,-2428417.50590,4493275.91720,3807471.04780,
2018-5-20 12:53:55.00000,-2428417.51040,4493275.92320,3807471.04790,
2018-5-20 12:53:56.00000,-2428417.50440,4493275.91320,3807471.04380,
2018-5-20 12:53:57.00000,-2428417.50910,4493275.92760,3807471.05230,
2018-5-20 12:53:58.00000,-2428417.50970,4493275.92470,3807471.05110,
2018-5-20 12:53:59.00000,-2428417.50350,4493275.91610,3807471.04250,
2018-5-20 12:54:0.00000,-2428417.49530,4493275.90440,3807471.03820,
2018-5-20 12:54:1.00000,-2428417.50630,4493275.92100,3807471.05050,
2018-5-20 12:54:2.00000,-2428417.50470,4493275.91660,3807471.04640,
2018-5-20 12:54:3.00000,-2428417.51000,4493275.92560,3807471.05250,
2018-5-20 12:54:4.00000,-2428417.50280,4493275.91470,3807471.04420,
2018-5-20 12:54:5.00000,-2428417.50670,4493275.92000,3807471.04740,
2018-5-20 12:54:6.00000,-2428417.50710,4493275.91900,3807471.04910,
2018-5-20 12:54:7.00000,-2428417.50700,4493275.92260,3807471.05010,
2018-5-20 12:54:8.00000,-2428417.50110,4493275.91470,3807471.05150,
2018-5-20 12:54:9.00000,-2428417.50440,4493275.91550,3807471.04440,
2018-5-20 12:54:10.00000,-2428417.50350,4493275.91610,3807471.04560,
2018-5-20 12:54:11.00000,-2428417.50010,4493275.90710,3807471.04090,
2018-5-20 12:54:12.00000,-2428417.50240,4493275.90650,3807471.04390,
2018-5-20 12:54:13.00000,-2428417.50220,4493275.90990,3807471.04390,
2018-5-20 12:54:14.00000,-2428417.49640,4493275.90180,3807471.03550,
2018-5-20 12:54:15.00000,-2428417.49980,4493275.90430,3807471.04010,
2018-5-20 12:54:16.00000,-2428417.49870,4493275.90050,3807471.03860,
2018-5-20 12:54:17.00000,-2428417.49720,4493275.90080,3807471.03460,
2018-5-20 12:54:18.00000,-2428417.49580,4493275.89280,3807471.03210,
2018-5-20 12:54:19.00000,-2428417.49530,4493275.89540,3807471.03180,
2018-5-20 12:54:20.00000,-2428417.49020,4493275.88770,3807471.02620,
2018-5-20 12:54:21.00000,-2428417.49600,4493275.89690,3807471.03290,
2018-5-20 12:54:22.00000,-2428417.49020,4493275.88950,3807471.02680,
2018-5-20 12:54:23.00000,-2428417.49650,4493275.89470,3807471.02920,
2018-5-20 12:54:24.00000,-2428417.49250,4493275.89330,3807471.03000,
2018-5-20 12:54:25.00000,-2428417.49450,4493275.89490,3807471.03060,
2018-5-20 12:54:26.00000,-2428417.49920,4493275.90130,3807471.03380,
2018-5-20 12:54:27.00000,-2428417.49400,4493275.89450,3807471.02890,
2018-5-20 12:54:28.00000,-2428417.49050,4493275.89110,3807471.02720,
2018-5-20 12:54:29.00000,-2428417.49600,4493275.89870,3807471.03090,
2018-5-20 12:54:30.00000,-2428417.49350,4493275.89820,3807471.02910,
2018-5-20 12:54:31.00000,-2428417.49150,4493275.89530,3807471.03150,
2018-5-20 12:54:32.00000,-2428417.49440,4493275.89770,3807471.02900,
2018-5-20 12:54:33.00000,-2428417.49110,4493275.88850,3807471.02250,
2018-5-20 12:54:34.00000,-2428417.48910,4493275.89140,3807471.02500,
2018-5-20 12:54:35.00000,-2428417.49010,4493275.89370,3807471.02580,
2018-5-20 12:54:36.00000,-2428417.49100,4493275.89560,3807471.02980,
2018-5-20 12:54:37.00000,-2428417.48710,4493275.88620,3807471.02600,
2018-5-20 12:54:38.00000,-2428417.49340,4493275.89650,3807471.02870,
2018-5-20 12:54:39.00000,-2428417.49030,4493275.88900,3807471.02610,
2018-5-20 12:54:40.00000,-2428417.48210,4493275.88030,3807471.01800,
2018-5-20 12:54:41.00000,-2428417.49300,4493275.89560,3807471.02690,
2018-5-20 12:54:42.00000,-2428417.48370,4493275.87920,3807471.01750,
2018-5-20 12:54:43.00000,-2428417.48930,4493275.88860,3807471.02340,
2018-5-20 12:54:44.00000,-2428417.48770,4493275.88890,3807471.02150,
2018-5-20 12:54:45.00000,-2428417.48310,4493275.87890,3807471.01810,
2018-5-20 12:54:46.00000,-2428417.47950,4493275.87430,3807471.01400,
2018-5-20 12:54:47.00000,-2428417.48330,4493275.87790,3807471.01490,
2018-5-20 12:54:48.00000,-2428417.48600,4493275.88170,3807471.01880,
2018-5-20 12:54:49.00000,-2428417.48190,4493275.87220,3807471.01410,
2018-5-20 12:54:50.00000,-2428417.47990,4493275.86800,3807471.01020,
2018-5-20 12:54:51.00000,-2428417.48170,4493275.87070,3807471.01160,
2018-5-20 12:54:52.00000,-2428417.47580,4493275.86520,3807471.00690,
2018-5-20 12:54:53.00000,-2428417.48200,4493275.86850,3807471.00970,
2018-5-20 12:54:54.00000,-2428417.48020,4493275.87200,3807471.01020,
2018-5-20 12:54:55.00000,-2428417.47800,4493275.86620,3807471.00630,
2018-5-20 12:54:56.00000,-2428417.47610,4493275.85790,3807471.00380,
2018-5-20 12:54:57.00000,-2428417.48450,4493275.87450,3807471.01480,
2018-5-20 12:54:58.00000,-2428417.48080,4493275.86960,3807471.00900,
2018-5-20 12:54:59.00000,-2428417.47370,4493275.85750,3807471.00520,
2018-5-20 12:55:0.00000,-2428417.47540,4493275.86390,3807471.00540,
2018-5-20 12:55:1.00000,-2428417.48040,4493275.86560,3807471.00900,
2018-5-20 12:55:2.00000,-2428417.48110,4493275.86490,3807471.00870,
2018-5-20 12:55:3.00000,-2428417.47530,4493275.86120,3807471.00780,
2018-5-20 12:55:4.00000,-2428417.48170,4493275.87090,3807471.01300,
2018-5-20 12:55:5.00000,-2428417.47930,4493275.86300,3807471.00620,
2018-5-20 12:55:6.00000,-2428417.47890,4493275.86530,3807471.00910,
2018-5-20 12:55:7.00000,-2428417.47480,4493275.86540,3807471.00780,
2018-5-20 12:55:8.00000,-2428417.47750,4493275.86220,3807471.00730,
2018-5-20 12:55:9.00000,-2428417.47820,4493275.86590,3807471.00870,
2018-5-20 12:55:10.00000,-2428417.47500,4493275.86320,3807471.00830,
2018-5-20 12:55:11.00000,-2428417.48010,4493275.86340,3807471.00600,
2018-5-20 12:55:12.00000,-2428417.47460,4493275.86260,3807471.00580,
2018-5-20 12:55:13.00000,-2428417.47640,4493275.86500,3807471.00920,
2018-5-20 12:55:14.00000,-2428417.47500,4493275.86000,3807471.00610,
2018-5-20 12:55:15.00000,-2428417.47290,4493275.85860,3807471.00260,
2018-5-20 12:55:16.00000,-2428417.47560,4493275.86500,3807471.00650,
2018-5-20 12:55:17.00000,-2428417.47560,4493275.86430,3807471.00650,
2018-5-20 12:55:18.00000,-2428417.47390,4493275.86000,3807471.00480,
2018-5-20 12:55:19.00000,-2428417.47460,4493275.85900,3807471.00530,
2018-5-20 12:55:20.00000,-2428417.47580,4493275.86540,3807471.00840,
2018-5-20 12:55:21.00000,-2428417.47350,4493275.85880,3807471.00240,
2018-5-20 12:55:22.00000,-2428417.47070,4493275.85630,3807471.00160,
2018-5-20 12:55:23.00000,-2428417.47520,4493275.85690,3807471.00560,
2018-5-20 12:55:24.00000,-2428417.47530,4493275.86120,3807471.00870,
2018-5-20 12:55:25.00000,-2428417.47300,4493275.85650,3807471.00540,
2018-5-20 12:55:26.00000,-2428417.47450,4493275.85770,3807471.00490,
2018-5-20 12:55:27.00000,-2428417.47520,4493275.85940,3807471.00450,
2018-5-20 12:55:28.00000,-2428417.47390,4493275.85460,3807471.00430,
2018-5-20 12:55:29.00000,-2428417.46950,4493275.84780,3807471.00070,
2018-5-20 12:55:30.00000,-2428417.47580,4493275.86420,3807471.00620,
2018-5-20 12:55:31.00000,-2428417.47150,4493275.85360,3807471.00150,
2018-5-20 12:55:32.00000,-2428417.47130,4493275.85220,3807470.99860,
2018-5-20 12:55:33.00000,-2428417.46870,4493275.84330,3807470.99900,
2018-5-20 12:55:34.00000,-2428417.47030,4493275.84730,3807471.00080,
2018-5-20 12:55:35.00000,-2428417.46850,4493275.84490,3807470.99570,
2018-5-20 12:55:36.00000,-2428417.47090,4493275.85120,3807470.99950,
2018-5-20 12:55:37.00000,-2428417.46960,4493275.85080,3807471.00170,
2018-5-20 12:55:38.00000,-2428417.46970,4493275.84900,3807470.99770,
2018-5-20 12:55:39.00000,-2428417.47040,4493275.84940,3807470.99870,
2018-5-20 12:55:40.00000,-2428417.46980,4493275.84520,3807470.99640,
2018-5-20 12:55:41.00000,-2428417.46730,4493275.84400,3807470.99550,
2018-5-20 12:55:42.00000,-2428417.46920,4493275.85060,3807470.99830,
2018-5-20 12:55:43.00000,-2428417.46980,4493275.84880,3807470.99710,
2018-5-20 12:55:44.00000,-2428417.47500,4493275.85450,3807470.99890,
2018-5-20 12:55:45.00000,-2428417.47070,4493275.85260,3807470.99680,
2018-5-20 12:55:46.00000,-2428417.47260,4493275.84700,3807470.99580,
2018-5-20 12:55:47.00000,-2428417.46800,4493275.85100,3807470.99710,
2018-5-20 12:55:48.00000,-2428417.47160,4493275.84820,3807470.99860,
2018-5-20 12:55:49.00000,-2428417.47610,4493275.85980,3807471.00450,
