time,lcj,hxj,fyj,hgj,
2018-5-20 13:9:36.30100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.34800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.39500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.45700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.50400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.55100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.59700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.66000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.70700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.75300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.81600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.86300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.90900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.95600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.01900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.06500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.11200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.15900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.22100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.26800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.31500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.37700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.42400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.47100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.51800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.58000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.62700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.67400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.72100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.78300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:37.83000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:37.89200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:37.93900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:37.98600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.03300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.07900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.14200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.18900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.23500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:38.28200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:38.34500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.39100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:38.43800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:38.50100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.54700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.59400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.64100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.70300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:38.75000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.79700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:38.84400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.90600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:38.95300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.00000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.06200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.10900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.15600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.20300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.26500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.31200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.35900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.42100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.46800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.51500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.56100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.62400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.67100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.71700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.76400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.82700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.87300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.92000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.96700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.02900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.07600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.12300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.18500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.23200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.27900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.32600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.38800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.43500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.48200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.52900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.59100,0.00000,121.09500,-0.10800,-1.00800,
