Sec,+-,+-,
2018-5-20 12:51:57.00000,4084085.05108,521328.78699,50.57769,
2018-5-20 12:51:58.00000,4084085.05721,521328.78679,50.57036,
2018-5-20 12:51:59.00000,4084085.05159,521328.79051,50.59252,
2018-5-20 12:52:0.00000,4084085.05446,521328.78779,50.57153,
2018-5-20 12:52:1.00000,4084085.05656,521328.78567,50.58405,
2018-5-20 12:52:2.00000,4084085.05611,521328.78728,50.57683,
2018-5-20 12:52:3.00000,4084085.05689,521328.78882,50.58329,
2018-5-20 12:52:4.00000,4084085.05735,521328.78850,50.56651,
2018-5-20 12:52:5.00000,4084085.05537,521328.78869,50.58064,
2018-5-20 12:52:6.00000,4084085.05637,521328.78665,50.57348,
2018-5-20 12:52:7.00000,4084085.05492,521328.78548,50.58141,
2018-5-20 12:52:8.00000,4084085.05447,521328.78682,50.58666,
2018-5-20 12:52:9.00000,4084085.05823,521328.78647,50.57632,
2018-5-20 12:52:10.00000,4084085.05573,521328.79053,50.57717,
2018-5-20 12:52:11.00000,4084085.06217,521328.78779,50.58174,
2018-5-20 12:52:12.00000,4084085.05632,521328.78857,50.57189,
2018-5-20 12:52:13.00000,4084085.06029,521328.78756,50.57192,
2018-5-20 12:52:14.00000,4084085.06071,521328.78683,50.57786,
2018-5-20 12:52:15.00000,4084085.06118,521328.78902,50.57841,
2018-5-20 12:52:16.00000,4084085.06161,521328.79018,50.57184,
2018-5-20 12:52:17.00000,4084085.06148,521328.78905,50.57567,
2018-5-20 12:52:18.00000,4084085.06042,521328.78929,50.57091,
2018-5-20 12:52:19.00000,4084085.05937,521328.78632,50.58830,
2018-5-20 12:52:20.00000,4084085.06053,521328.79148,50.59010,
2018-5-20 12:52:21.00000,4084085.06062,521328.78937,50.57481,
2018-5-20 12:52:22.00000,4084085.05640,521328.79362,50.58445,
2018-5-20 12:52:23.00000,4084085.06031,521328.79176,50.58457,
2018-5-20 12:52:24.00000,4084085.05923,521328.79269,50.58951,
2018-5-20 12:52:25.00000,4084085.06044,521328.78867,50.58288,
2018-5-20 12:52:26.00000,4084085.05868,521328.79117,50.58025,
2018-5-20 12:52:27.00000,4084085.06015,521328.79133,50.58544,
2018-5-20 12:52:28.00000,4084085.05694,521328.79051,50.58390,
2018-5-20 12:52:29.00000,4084085.05626,521328.79490,50.58848,
2018-5-20 12:52:30.00000,4084085.06099,521328.78724,50.57948,
2018-5-20 12:52:31.00000,4084085.06086,521328.78670,50.55699,
2018-5-20 12:52:32.00000,4084085.05827,521328.78857,50.59227,
2018-5-20 12:52:33.00000,4084085.06008,521328.78661,50.56686,
2018-5-20 12:52:34.00000,4084085.05976,521328.78902,50.57762,
2018-5-20 12:52:35.00000,4084085.05711,521328.79223,50.57950,
2018-5-20 12:52:36.00000,4084085.06015,521328.78950,50.57810,
2018-5-20 12:52:37.00000,4084085.05862,521328.79061,50.58282,
2018-5-20 12:52:38.00000,4084085.05913,521328.79056,50.57464,
2018-5-20 12:52:39.00000,4084085.06228,521328.78837,50.57809,
2018-5-20 12:52:40.00000,4084085.06066,521328.78702,50.58292,
2018-5-20 12:52:41.00000,4084085.05748,521328.78783,50.57000,
2018-5-20 12:52:42.00000,4084085.05827,521328.79014,50.57129,
2018-5-20 12:52:43.00000,4084085.05946,521328.78685,50.57452,
2018-5-20 12:52:44.00000,4084085.05521,521328.78991,50.56770,
