time,lcj,hxj,fyj,hgj,x,y,z,
2018-5-20 13:12:40.00000,4084032.63067,521415.93932,50.56784,101.71562,121.09730,-0.10374,-0.99960,
2018-5-20 13:12:41.00000,4084031.98823,521416.99853,50.58860,102.93591,121.10800,-0.11065,-1.00043,
2018-5-20 13:12:42.00000,4084031.35281,521418.05900,50.55538,104.19364,121.11691,-0.10791,-1.00757,
2018-5-20 13:12:43.00000,4084030.71083,521419.12365,50.54889,105.44247,121.06900,-0.10760,-1.00787,
2018-5-20 13:12:44.00000,4084030.06126,521420.19558,50.54856,106.68900,121.09300,-0.12300,-1.02200,
2018-5-20 13:12:45.00000,4084029.42586,521421.25530,50.57311,107.89183,121.08896,-0.11861,-1.02400,
2018-5-20 13:12:46.00000,4084028.78896,521422.32381,50.55570,109.12853,121.10745,-0.08526,-1.00019,
2018-5-20 13:12:47.00000,4084028.13479,521423.40473,50.55769,110.40926,121.11513,-0.09906,-1.00330,
2018-5-20 13:12:48.00000,4084027.48717,521424.48589,50.55112,111.67079,121.11565,-0.10379,-1.00890,
2018-5-20 13:12:49.00000,4084026.85118,521425.54828,50.54065,112.91792,121.10283,-0.10366,-1.01734,
2018-5-20 13:12:50.00000,4084026.20197,521426.62211,50.56432,114.12251,121.06581,-0.10600,-1.01553,
2018-5-20 13:12:51.00000,4084025.56949,521427.68810,50.53419,115.32100,121.09992,-0.09408,-1.01608,
2018-5-20 13:12:52.00000,4084024.90712,521428.77836,50.53815,116.60053,121.11081,-0.11721,-1.00564,
2018-5-20 13:12:53.00000,4084024.27702,521429.82885,50.55095,117.78323,121.10055,-0.10865,-1.00710,
2018-5-20 13:12:54.00000,4084023.65468,521430.87892,50.55524,119.00055,121.09730,-0.10602,-1.00732,
2018-5-20 13:12:55.00000,4084023.00790,521431.93326,50.57827,120.24979,121.11528,-0.10219,-1.00191,
2018-5-20 13:12:56.00000,4084022.37575,521432.98896,50.54301,121.46781,121.06677,-0.11442,-1.00523,
2018-5-20 13:12:57.00000,4084021.75935,521434.02768,50.55250,122.68139,121.08022,-0.11054,-1.01484,
2018-5-20 13:12:58.00000,4084021.13238,521435.06629,50.54544,123.92110,121.10581,-0.11381,-1.02290,
2018-5-20 13:12:59.00000,4084020.50764,521436.09196,50.54868,125.11368,121.10304,-0.10747,-1.02000,
2018-5-20 13:13:0.00000,4084019.87454,521437.14247,50.54631,126.34040,121.10828,-0.09406,-1.02500,
2018-5-20 13:13:1.00000,4084019.25679,521438.15093,50.55201,127.51968,121.11400,-0.13303,-1.00526,
2018-5-20 13:13:2.00000,4084018.64711,521439.17324,50.56716,128.70621,121.10534,-0.12089,-0.99994,
2018-5-20 13:13:3.00000,4084018.04663,521440.17678,50.55582,129.88666,121.07498,-0.10515,-1.00989,
2018-5-20 13:13:4.00000,4084017.44670,521441.18367,50.56976,131.03900,121.10700,-0.09400,-1.01203,
2018-5-20 13:13:5.00000,4084016.84978,521442.16998,50.53996,132.22368,121.10509,-0.10809,-1.01583,
2018-5-20 13:13:6.00000,4084016.26427,521443.13111,50.53803,133.35696,121.09423,-0.11898,-1.01877,
2018-5-20 13:13:7.00000,4084015.69761,521444.09569,50.53114,134.46570,121.07689,-0.10500,-1.01111,
2018-5-20 13:13:8.00000,4084015.10514,521445.07206,50.52870,135.62247,121.12700,-0.11400,-1.00262,
2018-5-20 13:13:9.00000,4084014.51318,521446.05559,50.53061,136.78439,121.10916,-0.12100,-1.00345,
2018-5-20 13:13:10.00000,4084013.91271,521447.06282,50.52177,137.94996,121.10913,-0.10600,-0.99913,
2018-5-20 13:13:11.00000,4084013.28808,521448.09862,50.53690,139.16819,121.08328,-0.10943,-1.00057,
2018-5-20 13:13:12.00000,4084012.67191,521449.12732,50.55189,140.35097,121.08810,-0.08003,-1.01187,
2018-5-20 13:13:13.00000,4084012.04433,521450.15523,50.56360,141.51309,121.07335,-0.09430,-1.00865,
2018-5-20 13:13:14.00000,4084011.45499,521451.14752,50.54454,142.67619,121.10700,-0.12452,-1.01145,
2018-5-20 13:13:15.00000,4084010.87559,521452.11297,50.52482,143.80258,121.10511,-0.09911,-1.01383,
2018-5-20 13:13:16.00000,4084010.28268,521453.09329,50.52399,144.96283,121.12302,-0.09757,-1.01270,
2018-5-20 13:13:17.00000,4084009.67086,521454.10997,50.55846,146.14284,121.09965,-0.09932,-1.01132,
2018-5-20 13:13:18.00000,4084009.06162,521455.12567,50.52770,147.33841,121.08504,-0.09100,-1.01802,
2018-5-20 13:13:19.00000,4084008.46685,521456.11216,50.53618,148.49386,121.07157,-0.11771,-1.00986,
2018-5-20 13:13:20.00000,4084007.89350,521457.06452,50.55283,149.59185,121.10811,-0.10377,-1.00100,
2018-5-20 13:13:21.00000,4084007.33118,521458.00690,50.52928,150.70604,121.10300,-0.09349,-1.01026,
2018-5-20 13:13:22.00000,4084006.73784,521458.97448,50.52580,151.84000,121.10586,-0.09429,-1.02057,
2018-5-20 13:13:23.00000,4084006.13198,521459.99226,50.54901,153.02911,121.09632,-0.10932,-1.05596,
2018-5-20 13:13:24.00000,4084005.51661,521461.02043,50.52745,154.23902,121.11100,-0.12392,-1.06115,
2018-5-20 13:13:25.00000,4084004.90318,521462.02635,50.53172,155.41868,121.12592,-0.10408,-1.03738,
2018-5-20 13:13:26.00000,4084004.29137,521463.04654,50.53388,156.60736,121.09117,-0.09809,-1.01017,
2018-5-20 13:13:27.00000,4084003.68968,521464.05353,50.52368,157.78830,121.08015,-0.12657,-1.00857,
2018-5-20 13:13:28.00000,4084003.07778,521465.05478,50.52623,158.95852,121.10370,-0.12300,-1.01670,
2018-5-20 13:13:29.00000,4084002.45796,521466.08458,50.52360,160.17062,121.11285,-0.10960,-1.01640,
2018-5-20 13:13:30.00000,4084001.82601,521467.13111,50.53235,161.38842,121.10932,-0.10990,-1.00958,
2018-5-20 13:13:31.00000,4084001.20966,521468.16239,50.53544,162.60289,121.10333,-0.08713,-1.00620,
2018-5-20 13:13:32.00000,4084000.58876,521469.19288,50.53275,163.81272,121.06800,-0.09700,-1.00874,
2018-5-20 13:13:33.00000,4083999.97804,521470.21067,50.51579,164.98700,121.10700,-0.11700,-1.00500,
2018-5-20 13:13:34.00000,4083999.37491,521471.21366,50.53165,166.17324,121.11351,-0.11660,-1.00119,
